Product_ID,Product_Name,Category,Quantity,Price,Supplier,Stock_Status
1001,Scanner,Computer Parts,23,2997,Wallace and Sons,Low Stock
1002,Monitor,Electronics,33,47026,Schwartz PLC,Low Stock
1003,Headphones,Computer Parts,15,15456,Munoz-Mcgee,Out of Stock
1004,USB Cable,Electronics,40,22749,Duarte PLC,Low Stock
1005,Monitor,Electronics,49,31840,Sanchez Inc,Available
1006,Hard Disk,Accessories,82,32816,Valdez and Sons,Available
1007,Scanner,Accessories,43,20079,Simpson-Cruz,Out of Stock
1008,Printer,Accessories,81,49272,Burke-Lopez,Available
1009,Keyboard,Electronics,49,6475,Douglas Group,Low Stock
1010,Router,Computer Parts,42,14876,Clarke-Tyler,Low Stock
1011,Mouse,Electronics,71,22345,Ayers PLC,Out of Stock
1012,Laptop,Office Equipment,13,33427,"Pollard, Reyes and Lewis",Out of Stock
1013,RAM,Accessories,40,10665,Lyons PLC,Out of Stock
1014,RAM,Computer Parts,8,36316,"Everett, Mitchell and Morgan",Available
1015,Monitor,Electronics,37,16189,Marks-Jones,Out of Stock
1016,Printer,Computer Parts,48,43353,"Keller, Bailey and Baird",Out of Stock
1017,Printer,Accessories,31,7600,Taylor-Watson,Low Stock
1018,USB Cable,Office Equipment,48,24443,Reed-Johnson,Low Stock
1019,Printer,Electronics,14,45063,Hill PLC,Available
1020,Hard Disk,Accessories,18,3166,Smith-Norris,Low Stock
1021,Headphones,Electronics,39,47230,Rocha-Porter,Out of Stock
1022,Hard Disk,Computer Parts,5,40495,Murphy Inc,Available
1023,Keyboard,Electronics,100,18796,"Long, Kennedy and Love",Out of Stock
1024,Scanner,Electronics,31,29480,Nelson-Hickman,Available
1025,Headphones,Accessories,47,1350,"Stevens, Weeks and Bates",Low Stock
1026,Monitor,Office Equipment,72,7579,Wu-Keller,Out of Stock
1027,Hard Disk,Accessories,24,41349,"Matthews, Hamilton and Ewing",Available
1028,Laptop,Electronics,32,45149,Anderson LLC,Low Stock
1029,Printer,Electronics,31,47081,Haas Ltd,Available
1030,Laptop,Office Equipment,69,28250,"Cooper, Ramos and Moreno",Low Stock
1031,Scanner,Computer Parts,33,47339,Gates PLC,Available
1032,RAM,Accessories,9,27337,Martinez-Walker,Low Stock
1033,Monitor,Computer Parts,90,14033,Smith and Sons,Available
1034,Mouse,Computer Parts,34,31226,Gonzales-Morales,Low Stock
1035,Hard Disk,Accessories,53,28853,Walter-Burnett,Low Stock
1036,Speaker,Electronics,14,28795,Ballard PLC,Out of Stock
1037,Router,Accessories,9,28091,Macias-Garcia,Out of Stock
1038,Monitor,Accessories,53,8225,"Prince, Garcia and Meyers",Out of Stock
1039,USB Cable,Office Equipment,22,27922,"Hunt, Garner and Ramirez",Out of Stock
1040,Webcam,Computer Parts,71,40541,Lloyd LLC,Low Stock
1041,Monitor,Accessories,61,32854,Smith-Lopez,Available
1042,Projector,Computer Parts,30,19748,"Hale, Scott and Sims",Low Stock
1043,Laptop,Accessories,60,22359,"Moss, Stevens and Weiss",Low Stock
1044,Headphones,Electronics,65,47736,Clark LLC,Low Stock
1045,Keyboard,Office Equipment,49,8864,"Sharp, Turner and Perry",Available
1046,Laptop,Computer Parts,16,39243,Moore Ltd,Low Stock
1047,RAM,Office Equipment,26,46102,Holland and Sons,Available
1048,Microphone,Accessories,51,24681,"Smith, Mosley and Nelson",Available
1049,Microphone,Computer Parts,10,39120,Hayes Group,Out of Stock
1050,Webcam,Office Equipment,80,35761,"Gill, Lee and Nelson",Available
1051,Scanner,Office Equipment,9,27844,Esparza and Sons,Out of Stock
1052,Scanner,Office Equipment,22,32180,Whitehead Ltd,Out of Stock
1053,Webcam,Accessories,45,36179,Russell-Parker,Out of Stock
1054,Webcam,Computer Parts,16,22379,Vargas-Roberts,Low Stock
1055,Speaker,Electronics,96,24423,"Griffin, Allison and Crane",Available
1056,RAM,Computer Parts,99,25727,Walters-Weaver,Available
1057,Webcam,Electronics,1,7720,"Davis, Williams and Clark",Out of Stock
1058,Webcam,Computer Parts,57,48540,"Russell, Brewer and Gonzales",Available
1059,Mouse,Accessories,49,1113,Fuller-Tate,Low Stock
1060,Mouse,Computer Parts,33,45482,"Reyes, Gonzalez and Fisher",Low Stock
1061,Scanner,Computer Parts,74,49421,Fernandez-Vasquez,Low Stock
1062,Router,Electronics,8,10369,Thompson PLC,Out of Stock
1063,Projector,Accessories,23,14923,Ramirez Group,Low Stock
